TermID,Variable,RootFolder,Res,SpatialSummary,CubeLevel,TemporalSummary,TemporalAnomaly,TemporalLagMonths
T1,EVI,\\map-fs1.ndph.ox.ac.uk\map_data\mastergrids\MODIS_Global\MCD43B4_BRDF_Reflectance\EVI,5km,max,Monthly,mean,Difference from synoptic annual,3
T2,EVI,\\map-fs1.ndph.ox.ac.uk\map_data\mastergrids\MODIS_Global\MCD43B4_BRDF_Reflectance\EVI,5km,max,Monthly,mean,,4
T3A,EVI,\\map-fs1.ndph.ox.ac.uk\map_data\mastergrids\MODIS_Global\MCD43B4_BRDF_Reflectance\EVI,5km,mean,Monthly,mean,Difference from synoptic annual,0
T3B,EVI,\\map-fs1.ndph.ox.ac.uk\map_data\mastergrids\MODIS_Global\MCD43B4_BRDF_Reflectance\EVI,5km,mean,Monthly,mean,Difference from synoptic annual,0
T3C,EVI,\\map-fs1.ndph.ox.ac.uk\map_data\mastergrids\MODIS_Global\MCD43B4_BRDF_Reflectance\EVI,5km,mean,Monthly,mean,Difference from synoptic annual,4
T4,EVI,\\map-fs1.ndph.ox.ac.uk\map_data\mastergrids\MODIS_Global\MCD43B4_BRDF_Reflectance\EVI,5km,min,Monthly,mean,Difference from synoptic monthly,
T5,LC12,\\map-fs1.ndph.ox.ac.uk\map_data\mastergrids\MODIS_Global\MCD12Q1_Annual_Landcover\IGBP_Landcover_Class12,5km,percentage,Annual,Data,,
T6,LC13,\\map-fs1.ndph.ox.ac.uk\map_data\mastergrids\MODIS_Global\MCD12Q1_Annual_Landcover\IGBP_Landcover_Class13,5km,percentage,Annual,Data,,
T7,LC14,\\map-fs1.ndph.ox.ac.uk\map_data\mastergrids\MODIS_Global\MCD12Q1_Annual_Landcover\IGBP_Landcover_Class14,5km,percentage,Annual,Data,,
T8,LST_day,\\map-fs1.ndph.ox.ac.uk\map_data\mastergrids\MODIS_Global\MOD11A2_LST\LST_Day,5km,max,Synoptic,mean,,
T9,LST_day,\\map-fs1.ndph.ox.ac.uk\map_data\mastergrids\MODIS_Global\MOD11A2_LST\LST_Day,5km,mean,Synoptic,SD,,1
T10A,LST_day,\\map-fs1.ndph.ox.ac.uk\map_data\mastergrids\MODIS_Global\MOD11A2_LST\LST_Day,5km,range,Synoptic,mean,,1
T10B,LST_day,\\map-fs1.ndph.ox.ac.uk\map_data\mastergrids\MODIS_Global\MOD11A2_LST\LST_Day,5km,range,Synoptic,mean,,4
T10C,LST_day,\\map-fs1.ndph.ox.ac.uk\map_data\mastergrids\MODIS_Global\MOD11A2_LST\LST_Day,5km,range,Synoptic,mean,,4
T11,LST_day,\\map-fs1.ndph.ox.ac.uk\map_data\mastergrids\MODIS_Global\MOD11A2_LST\LST_Day,5km,SD,Synoptic,mean,,2
T12,LST_day,\\map-fs1.ndph.ox.ac.uk\map_data\mastergrids\MODIS_Global\MOD11A2_LST\LST_Day,5km,SD,Synoptic,SD,,3
T13,LST_night,\\map-fs1.ndph.ox.ac.uk\map_data\mastergrids\MODIS_Global\MOD11A2_LST\LST_Night,5km,mean,Synoptic,mean,,
T14,LST_night,\\map-fs1.ndph.ox.ac.uk\map_data\mastergrids\MODIS_Global\MOD11A2_LST\LST_Night,5km,mean,Monthly,mean,Difference from synoptic annual,
T15,LST_night,\\map-fs1.ndph.ox.ac.uk\map_data\mastergrids\MODIS_Global\MOD11A2_LST\LST_Night,5km,min,Synoptic,SD,,4
T16,LST_night,\\map-fs1.ndph.ox.ac.uk\map_data\mastergrids\MODIS_Global\MOD11A2_LST\LST_Night,5km,range,Synoptic,mean,,2
T17,LST_diurnal_diff,\\map-fs1.ndph.ox.ac.uk\map_data\mastergrids\MODIS_Global\MOD11A2_LST\LST_Diurnal_Difference,5km,max,Synoptic,mean,,
T18,LST_diurnal_diff,\\map-fs1.ndph.ox.ac.uk\map_data\mastergrids\MODIS_Global\MOD11A2_LST\LST_Diurnal_Difference,5km,max,Monthly,mean,,
T19,LST_diurnal_diff,\\map-fs1.ndph.ox.ac.uk\map_data\mastergrids\MODIS_Global\MOD11A2_LST\LST_Diurnal_Difference,5km,mean,Monthly,mean,,
T20,LST_diurnal_diff,\\map-fs1.ndph.ox.ac.uk\map_data\mastergrids\MODIS_Global\MOD11A2_LST\LST_Diurnal_Difference,5km,mean,Synoptic,mean,,1
T21,PET,\\map-fs1.ndph.ox.ac.uk\map_data\mastergrids\Other_Global_Covariates\PET,5km,mean,Static,Data,,
T22,PrecA0,\\map-fs1.ndph.ox.ac.uk\map_data\mastergrids\Other_Global_Covariates\WorldClim_Precipitation_TFA\A0,5km,mean,Static,Data,,
T23,PrecA2,\\map-fs1.ndph.ox.ac.uk\map_data\mastergrids\Other_Global_Covariates\WorldClim_Precipitation_TFA\A2,5km,mean,Static,Data,,
T24,SlopeLT2,\\map-fs1.ndph.ox.ac.uk\map_data\mastergrids\Other_Global_Covariates\Elevation\Slope-Classifications\SRTM-Slope_LT_2_Degrees,5km,fraction,Static,Data,,
T25,SlopeLT5,\\map-fs1.ndph.ox.ac.uk\map_data\mastergrids\Other_Global_Covariates\Elevation\Slope-Classifications\SRTM-Slope_LT_5_Degrees,5km,fraction,Static,Data,,
T26,Elevation,\\map-fs1.ndph.ox.ac.uk\map_data\mastergrids\Other_Global_Covariates\Elevation\SRTM-Elevation,5km,max,Static,Data,,
T27,TCB,\\map-fs1.ndph.ox.ac.uk\map_data\mastergrids\MODIS_Global\MCD43B4_BRDF_Reflectance\TCB,5km,range,Synoptic,mean,,
T28A,TCW,\\map-fs1.ndph.ox.ac.uk\map_data\mastergrids\MODIS_Global\MCD43B4_BRDF_Reflectance\TCW,5km,min,Monthly,mean,,4
T28B,TCW,\\map-fs1.ndph.ox.ac.uk\map_data\mastergrids\MODIS_Global\MCD43B4_BRDF_Reflectance\TCW,5km,min,Monthly,mean,,0
T29,TCW,\\map-fs1.ndph.ox.ac.uk\map_data\mastergrids\MODIS_Global\MCD43B4_BRDF_Reflectance\TCW,5km,range,Synoptic,mean,,2
T30,TCW,\\map-fs1.ndph.ox.ac.uk\map_data\mastergrids\MODIS_Global\MCD43B4_BRDF_Reflectance\TCW,5km,SD,Monthly,mean,,3
T31,TSI,\\map-fs1.ndph.ox.ac.uk\map_data\mastergrids\Other_Global_Covariates\TemperatureSuitability\TSI_Pf_Dynamic,5km,Data,Synoptic,SD,,2
T32,TSI,\\map-fs1.ndph.ox.ac.uk\map_data\mastergrids\Other_Global_Covariates\TemperatureSuitability\TSI_Pf_Dynamic,5km,Data,Monthly,Data,,3
